ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2023	13	IMPERIAL	3667600.9306931095	7640561.03211333333333333333333333333341
NO	2023	10	FRESNO	22993377.236077147	39241609.7887583333333333333333333333323
NO	2023	41	SAN MATEO	195512.3328478019	511533.09682416666666666666666666666667
NO	2023	11	GLENN	1712277.6969790155	4525181.67391666666666666666666666666668
NO	2023	57	YOLO	3405887.452558884	6527367.96789166666666666666666666666665
YES	2023	37	SAN DIEGO	N/A	39908.2178
YES	2023	16	KINGS	N/A	1442899.1073
NO	2023	16	KINGS	5061618.2680006915	9663776.84900833333333333333333333333317
YES	2023	33	RIVERSIDE	N/A	263699.3385
YES	2023	13	IMPERIAL	N/A	855013.9133
YES	2023	35	SAN BENITO	N/A	78595.29
NO	2023	34	SACRAMENTO	4649525.7651325948	6635597.7359800000000000000000000000003
NO	2023	21	MARIN	87393.5599190624	287689.500741666666666666666666666666668
NO	2023	23	MENDOCINO	1771125.730541385	3921242.09150000000000000000000000000002
NO	2023	14	INYO	4586.953214307	19383.0061249999999999999999999999999995
NO	2023	26	MONO	2377.775658086	7369.66546666666666666666666666666666666
YES	2023	41	SAN MATEO	N/A	7166.2801
YES	2023	32	PLUMAS	N/A	40677.8519
YES	2023	38	SAN FRANCISCO	N/A	226.4204
NO	2023	51	SUTTER	2142000.100547992	5094980.6182833333333333333333333333331
NO	2023	27	MONTEREY	8386934.2155337535	13598705.9301666666666666666666666666667
YES	2023	04	BUTTE	N/A	665674.7226
NO	2023	58	YUBA	765790.7081215135	1956274.0838166666666666666666666666667
YES	2023	56	VENTURA	N/A	374584.605
NO	2023	37	SAN DIEGO	1397846.9156603362	3730758.3941158333333333333333333333331
YES	2023	11	GLENN	N/A	623857.8301
NO	2023	17	LAKE	539609.0039287465	753679.302183333333333333333333333333333
NO	2023	05	CALAVERAS	37614.0701237258	82864.1836999999999999999999999999999995
NO	2023	38	SAN FRANCISCO	27569.1000643801	119993.857565000000000000000000000000001
NO	2023	40	SAN LUIS OBISPO	2425459.0515790988	3916938.73587499999999999999999999999971
YES	2023	24	MERCED	N/A	1081525.9152
NO	2023	33	RIVERSIDE	2621488.2264252069	5947355.61191666666666666666666666666608
NO	2023	54	TULARE	12816048.482322601	20933880.5908416666666666666666666666649
YES	2023	27	MONTEREY	N/A	962271.6541
NO	2023	07	CONTRA COSTA	536296.1107740057	1475324.91624500000000000000000000000005
YES	2023	39	SAN JOAQUIN	N/A	1223460.8028
NO	2023	24	MERCED	6305478.072849284	11392487.080558333333333333333333333333
YES	2023	57	YOLO	N/A	517503.6069
NO	2023	36	SAN BERNARDINO	298607.3127795737	1219374.82570999999999999999999999999992
