ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2023	47	SISKIYOU	1397879.6339455205	1597723.58600833333333333333333333333333
YES	2023	05	CALAVERAS	N/A	17997.5515
YES	2023	53	TRINITY	N/A	15664.3012
YES	2023	14	INYO	N/A	2804.3911
	2023	15	KERN	.01083	.19
YES	2023	46	SIERRA	N/A	108.4575
YES	2023	02	ALPINE	N/A	17.8695
NO	2023	42	SANTA BARBARA	5483276.0679310323	8189691.31756500000000000000000000000008
NO	2023	31	PLACER	320167.0282190407	1166065.22058166666666666666666666666669
NO	2023	30	ORANGE	816195.8677050747	2725223.14453583333333333333333333333353
NO	2023	28	NAPA	1269041.6425952877	1848745.87638333333333333333333333333338
NO	2023	20	MADERA	5821345.03977286	10190992.5422333333333333333333333333331
YES	2023	48	SOLANO	N/A	273198.1507
YES	2023	42	SANTA BARBARA	N/A	560327.7752
NO	2023	25	MODOC	159248.022532695	315595.0979
YES	2023	34	SACRAMENTO	N/A	285858.4989
NO	2023	52	TEHAMA	878383.775071442	1521678.95176666666666666666666666666672
YES	2023	19	LOS ANGELES	N/A	154127.439
YES	2023	12	HUMBOLDT	N/A	6632.8446
YES	2023	58	YUBA	N/A	196702.3384
YES	2023	03	AMADOR	N/A	20076.349
YES	2023	45	SHASTA	N/A	50332.2552
NO	2023	53	TRINITY	12567.071159054	27931.1137000000000000000000000000000001
YES	2023	55	TUOLUMNE	N/A	13265.7773
YES	2023	26	MONO	N/A	1071.6518
NO	2023	39	SAN JOAQUIN	10215978.2743011715	15212647.8151116666666666666666666666665
NO	2023	04	BUTTE	2323401.2295064575	5482259.75435666666666666666666666666656
YES	2023	07	CONTRA COSTA	N/A	56762.5372
YES	2023	20	MADERA	N/A	1189547.8234
YES	2023	44	SANTA CRUZ	N/A	47635.7073
NO	2023	03	AMADOR	94962.805196956	142703.958925000000000000000000000000001
NO	2023	55	TUOLUMNE	30276.0972010525	79424.3267416666666666666666666666666658
YES	2023	22	MARIPOSA	N/A	815.5713
YES	2023	01	ALAMEDA	N/A	24481.558
NO	2023	12	HUMBOLDT	23968.998214041	103978.490741666666666666666666666666667
NO	2023	32	PLUMAS	85174.83825264	184204.965516666666666666666666666666668
YES	2023	21	MARIN	N/A	1722.6175
NO	2023	02	ALPINE	291.95523473	1050.5144
YES	2023	54	TULARE	N/A	4667787.9784
YES	2023	50	STANISLAUS	N/A	993020.5735
NO	2023	56	VENTURA	5794211.6755734974	9244839.18447333333333333333333333333358
NO	2023	49	SONOMA	2345244.5649542772	3299148.35629166666666666666666666666661
NO	2023	50	STANISLAUS	4762779.8965049688	9317878.21951499999999999999999999999977
YES	2023	23	MENDOCINO	N/A	41987.3136
YES	2023	10	FRESNO	N/A	4476991.0228
YES	2023	28	NAPA	N/A	97808.2657
YES	2023	25	MODOC	N/A	35972.7318
YES	2023	40	SAN LUIS OBISPO	N/A	331064.6328
YES	2023	09	EL DORADO	N/A	58562.5165
YES	2023	18	LASSEN	N/A	27963.3687
NO	2023	18	LASSEN	196770.227710446	260641.542950000000000000000000000000001
YES	2023	17	LAKE	N/A	38159.9066
NO	2023	45	SHASTA	217639.200631189	460133.507941666666666666666666666666666
NO	2023	19	LOS ANGELES	2423145.9880213768	8299496.71791380952380952380952380952249
NO	2023	43	SANTA CLARA	702115.603974601	1900146.57286333333333333333333333333322
NO	2023	06	COLUSA	2027891.1818959685	5998869.71301666666666666666666666666665
YES	2023	49	SONOMA	N/A	216381.1016
NO	2023	44	SANTA CRUZ	1303538.0907750375	1809209.2152166666666666666666666666667
YES	2023	51	SUTTER	N/A	714807.4803
YES	2023	52	TEHAMA	N/A	204619.0018
YES	2023	43	SANTA CLARA	N/A	108201.8513
YES	2023	36	SAN BERNARDINO	N/A	23581.5788
NO	2023	29	NEVADA	52660.061062005	116488.764608333333333333333333333333332
YES	2023	30	ORANGE	N/A	32267.7163
YES	2023	08	DEL NORTE	N/A	1518.9775
NO	2023	01	ALAMEDA	311252.2085982412	925240.192939999999999999999999999999994
NO	2023	35	SAN BENITO	576421.3154095393	985385.567816666666666666666666666666666
NO	2023	15	KERN	20527415.3498426996	36269077.7730166666666666666666666666662
YES	2023	47	SISKIYOU	N/A	68191.772
YES	2023	06	COLUSA	N/A	633655.8199
YES	2023	15	KERN	N/A	4780737.535
NO	2023	48	SOLANO	1297202.4142044352	2446296.42250833333333333333333333333326
NO	2023	09	EL DORADO	192752.8650083285	407432.191308333333333333333333333333332
YES	2023	31	PLACER	N/A	76731.1665
NO	2023	22	MARIPOSA	4988.287821324	13352.2498499999999999999999999999999997
NO	2023	08	DEL NORTE	139069.401971306	255998.97235
YES	2023	29	NEVADA	N/A	3622.8
NO	2023	46	SIERRA	2331.726946088	5830.2591
