ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2022	38	SAN FRANCISCO	28391.60023125298	125391.205888333333333333333333333333335
YES	2022	38	SAN FRANCISCO	N/A	294.3532
NO	2022	39	SAN JOAQUIN	500030.0450586446	1249911.10836999999999999999999999999987
YES	2022	39	SAN JOAQUIN	N/A	25076.9495
NO	2022	40	SAN LUIS OBISPO	100040.099827093	298550.403706666666666666666666666666663
YES	2022	40	SAN LUIS OBISPO	N/A	7915.8833
NO	2022	41	SAN MATEO	132091.96217463522	371022.687118333333333333333333333333332
YES	2022	41	SAN MATEO	N/A	11298.0296
NO	2022	42	SANTA BARBARA	148548.564982131	389943.193963333333333333333333333333333
YES	2022	42	SANTA BARBARA	N/A	5046.2692
NO	2022	43	SANTA CLARA	350257.59956526642	1929769.56367500000000000000000000000023
YES	2022	43	SANTA CLARA	N/A	53973.8777
NO	2022	44	SANTA CRUZ	95773.5923852166	235229.294733333333333333333333333333333
YES	2022	44	SANTA CRUZ	N/A	638.8424
NO	2022	45	SHASTA	56985.5457666043	181911.168258333333333333333333333333332
YES	2022	45	SHASTA	N/A	14795.5093
NO	2022	46	SIERRA	2047.725758554	5097.91003333333333333333333333333333334
YES	2022	46	SIERRA	N/A	73.7927
NO	2022	47	SISKIYOU	15801.140871242	45484.004533333333333333333333333333334
YES	2022	47	SISKIYOU	N/A	4807.3969
NO	2022	48	SOLANO	136462.8640386624	423683.666523333333333333333333333333332
YES	2022	48	SOLANO	N/A	10181.9533
NO	2022	49	SONOMA	153617.0532313305	415557.043974999999999999999999999999999
YES	2022	49	SONOMA	N/A	3684.9043
NO	2022	50	STANISLAUS	519652.57256801776	1857042.91491499999999999999999999999998
YES	2022	50	STANISLAUS	N/A	12371.9711
NO	2022	51	SUTTER	93900.9075014495	236960.125943333333333333333333333333333
YES	2022	51	SUTTER	N/A	18351.6025
NO	2022	52	TEHAMA	125543.1416814395	194199.207825
YES	2022	52	TEHAMA	N/A	8220.1147
NO	2022	53	TRINITY	2387.440759656	5123.5768
YES	2022	53	TRINITY	N/A	3239.0956
NO	2022	54	TULARE	599418.3155460955	1793307.2209416666666666666666666666668
YES	2022	54	TULARE	N/A	41120.7915
NO	2022	55	TUOLUMNE	20661.939553308	57472.0019499999999999999999999999999999
YES	2022	55	TUOLUMNE	N/A	8097.9175
NO	2022	56	VENTURA	274924.161970338	1034425.67605833333333333333333333333333
YES	2022	56	VENTURA	N/A	10938.1826
NO	2022	57	YOLO	252701.60149737452	794512.434648333333333333333333333333333
YES	2022	57	YOLO	N/A	7166.6694
NO	2022	58	YUBA	51463.0100632825	127543.628764999999999999999999999999999
YES	2022	58	YUBA	N/A	5055.7484
