ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
YES	2022	49	SONOMA	N/A	186134.5091
NO	2022	50	STANISLAUS	5651747.68622545026	10347646.766365
YES	2022	50	STANISLAUS	N/A	1007644.1122
NO	2022	51	SUTTER	2079726.2702677795	4058414.11334333333333333333333333333329
YES	2022	51	SUTTER	N/A	535605.7457
NO	2022	52	TEHAMA	907168.3691761595	1524413.74982499999999999999999999999998
YES	2022	52	TEHAMA	N/A	211545.3885
NO	2022	53	TRINITY	14587.262807326	30416.7195
YES	2022	53	TRINITY	N/A	18870.5728
NO	2022	54	TULARE	13728080.5793975411	21323767.1973916666666666666666666666658
YES	2022	54	TULARE	N/A	4581834.2242
NO	2022	55	TUOLUMNE	31767.672015178	79223.4883499999999999999999999999999995
YES	2022	55	TUOLUMNE	N/A	14210.972
NO	2022	56	VENTURA	5953817.8152641914	9185610.78199166666666666666666666666741
YES	2022	56	VENTURA	N/A	339407.7961
NO	2022	57	YOLO	3397764.17627106702	5432839.18454833333333333333333333333329
YES	2022	57	YOLO	N/A	469123.6827
NO	2022	58	YUBA	895153.0556825875	1958058.33036499999999999999999999999988
YES	2022	58	YUBA	N/A	254006.7454
