ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2022	01	ALAMEDA	242135.17437409762	699164.382806666666666666666666666666664
YES	2022	01	ALAMEDA	N/A	20408.6557
NO	2022	02	ALPINE	260.110380457	1112.45816666666666666666666666666666667
YES	2022	02	ALPINE	N/A	44.8348
NO	2022	03	AMADOR	107182.722738571	190333.424475
YES	2022	03	AMADOR	N/A	17052.341
NO	2022	04	BUTTE	2317208.61670957052	5413005.31203333333333333333333333333339
YES	2022	04	BUTTE	N/A	673668.0507
NO	2022	05	CALAVERAS	50876.57582409	107992.17585
YES	2022	05	CALAVERAS	N/A	33633.6141
NO	2022	06	COLUSA	1094522.8058202975	2886599.47694999999999999999999999999996
YES	2022	06	COLUSA	N/A	361438.9167
NO	2022	07	CONTRA COSTA	431100.9245638389	1383860.20535833333333333333333333333335
YES	2022	07	CONTRA COSTA	N/A	54474.4061
NO	2022	08	DEL NORTE	126844.634430747	215036.213933333333333333333333333333334
YES	2022	08	DEL NORTE	N/A	8018.0021
NO	2022	09	EL DORADO	179859.2484659095	368277.585106666666666666666666666666666
YES	2022	09	EL DORADO	N/A	80424.8504
NO	2022	10	FRESNO	23556667.9980532365	39050337.133708333333333333333333333333
YES	2022	10	FRESNO	N/A	4147516.9181
NO	2022	11	GLENN	1183208.4175905535	2704547.98515833333333333333333333333335
YES	2022	11	GLENN	N/A	436833.6844
NO	2022	12	HUMBOLDT	21155.4579806915	82709.5586833333333333333333333333333342
YES	2022	12	HUMBOLDT	N/A	10469.3014
NO	2022	13	IMPERIAL	3805650.7623765425	7514052.58720833333333333333333333333342
YES	2022	13	IMPERIAL	N/A	773016.5796
NO	2022	14	INYO	5482.438144673	17905.2361166666666666666666666666666662
YES	2022	14	INYO	N/A	9888.3996
NO	2022	15	KERN	22573895.1835392845	38593733.8489249999999999999999999999992
YES	2022	15	KERN	N/A	4263059.8601
NO	2022	16	KINGS	5450343.1896219505	10041420.2083333333333333333333333333333
YES	2022	16	KINGS	N/A	1494938.4275
NO	2022	17	LAKE	556482.2770359384	786615.321441666666666666666666666666666
YES	2022	17	LAKE	N/A	34838.7598
NO	2022	18	LASSEN	162953.595664961	220196.009449999999999999999999999999999
YES	2022	18	LASSEN	N/A	19901.9478
NO	2022	19	LOS ANGELES	2327362.27996591129	7939944.8246419047619047619047619047598
YES	2022	19	LOS ANGELES	N/A	121666.6885
NO	2022	20	MADERA	7346961.284134319	11687639.7167266666666666666666666666666
YES	2022	20	MADERA	N/A	1246499.3373
NO	2022	21	MARIN	84291.190898696	211885.279583333333333333333333333333333
YES	2022	21	MARIN	N/A	2090.6638
NO	2022	22	MARIPOSA	4035.1816960945	12981.5491
YES	2022	22	MARIPOSA	N/A	1315.8157
NO	2022	23	MENDOCINO	1972122.5145034305	4367919.97968333333333333333333333333335
YES	2022	23	MENDOCINO	N/A	31892.2347
NO	2022	24	MERCED	7219560.6849277825	12374227.0249249999999999999999999999997
YES	2022	24	MERCED	N/A	1080245.6471
NO	2022	25	MODOC	108179.36907746	260757.74625
YES	2022	25	MODOC	N/A	32180.261
NO	2022	26	MONO	2785.751343263	5792.53006666666666666666666666666666667
YES	2022	26	MONO	N/A	680.1353
NO	2022	27	MONTEREY	8339737.8329492043	14477643.5424583333333333333333333333341
YES	2022	27	MONTEREY	N/A	1013035.0175
NO	2022	28	NAPA	1092214.39938554775	1572911.99310833333333333333333333333336
YES	2022	28	NAPA	N/A	101108.3112
NO	2022	29	NEVADA	66820.025916562	147629.636625000000000000000000000000002
YES	2022	29	NEVADA	N/A	5854.0724
NO	2022	30	ORANGE	775941.33927040324	3007180.25500333333333333333333333333271
YES	2022	30	ORANGE	N/A	35638.4854
NO	2022	31	PLACER	391246.8172670555	1747095.57882833333333333333333333333338
YES	2022	31	PLACER	N/A	104513.5995
NO	2022	32	PLUMAS	53878.238351307	113102.181366666666666666666666666666667
YES	2022	32	PLUMAS	N/A	43908.9665
NO	2022	33	RIVERSIDE	2350961.65690591205	6127648.62306166666666666666666666666671
YES	2022	33	RIVERSIDE	N/A	265762.2099
NO	2022	34	SACRAMENTO	4320834.7335111314	6609215.1326050000000000000000000000006
YES	2022	34	SACRAMENTO	N/A	243938.0615
NO	2022	35	SAN BENITO	718278.8358029651	1209320.57671666666666666666666666666665
YES	2022	35	SAN BENITO	N/A	78156.2697
NO	2022	36	SAN BERNARDINO	417615.9296987971	1557060.00947166666666666666666666666665
YES	2022	36	SAN BERNARDINO	N/A	19855.4061
NO	2022	37	SAN DIEGO	1511063.04381549614	3985585.08219666666666666666666666666656
YES	2022	37	SAN DIEGO	N/A	42848.8511
NO	2022	38	SAN FRANCISCO	28485.57896742698	125763.815688333333333333333333333333335
YES	2022	38	SAN FRANCISCO	N/A	295.0224
NO	2022	39	SAN JOAQUIN	11025576.5481790628	15723022.9161199999999999999999999999994
YES	2022	39	SAN JOAQUIN	N/A	1384149.7856
NO	2022	40	SAN LUIS OBISPO	2429231.1722710716	3941165.90693999999999999999999999999981
YES	2022	40	SAN LUIS OBISPO	N/A	364465.1083
NO	2022	41	SAN MATEO	182033.37240269482	470926.368418333333333333333333333333332
YES	2022	41	SAN MATEO	N/A	12516.6678
NO	2022	42	SANTA BARBARA	5552551.470765432	8390285.79321333333333333333333333333358
YES	2022	42	SANTA BARBARA	N/A	622948.2861
NO	2022	43	SANTA CLARA	627707.37123718448	2428152.99832500000000000000000000000004
YES	2022	43	SANTA CLARA	N/A	100767.7691
NO	2022	44	SANTA CRUZ	1315013.2514951625	1908124.86088333333333333333333333333335
YES	2022	44	SANTA CRUZ	N/A	47125.3591
NO	2022	45	SHASTA	189269.9102589743	397527.108058333333333333333333333333333
YES	2022	45	SHASTA	N/A	73050.3216
NO	2022	46	SIERRA	2742.418822854	7075.16733333333333333333333333333333333
YES	2022	46	SIERRA	N/A	612.6054
NO	2022	47	SISKIYOU	1431404.389614947	1721202.48563333333333333333333333333337
YES	2022	47	SISKIYOU	N/A	51540.5935
NO	2022	48	SOLANO	1036516.8391617124	2006494.74177333333333333333333333333335
YES	2022	48	SOLANO	N/A	223400.6225
NO	2022	49	SONOMA	2207605.93415421433	3005393.22922499999999999999999999999992
