ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2023	21	MARIN	79634.7903895024	277220.940341666666666666666666666666668
NO	2023	11	GLENN	124581.6362990655	330423.150916666666666666666666666666667
NO	2023	10	FRESNO	1003720.939117962	3268543.80080833333333333333333333333269
NO	2023	34	SACRAMENTO	222140.783664251	1104810.27588000000000000000000000000005
NO	2023	13	IMPERIAL	351339.3693290865	673374.993813333333333333333333333333334
NO	2023	41	SAN MATEO	146967.1683097978	417061.09222416666666666666666666666667
YES	2023	37	SAN DIEGO	N/A	16129.1832
NO	2023	23	MENDOCINO	1057485.187460957	3076899.08025000000000000000000000000002
YES	2023	38	SAN FRANCISCO	N/A	225.9552
NO	2023	57	YOLO	259401.683773449	1244785.15019166666666666666666666666668
YES	2023	35	SAN BENITO	N/A	581.0964
YES	2023	33	RIVERSIDE	N/A	39482.6255
NO	2023	16	KINGS	187187.5974193415	738843.285558333333333333333333333333333
YES	2023	41	SAN MATEO	N/A	6009.7756
NO	2023	14	INYO	3088.026868337	15711.6666249999999999999999999999999998
NO	2023	26	MONO	627.555521906	2833.69836666666666666666666666666666666
YES	2023	16	KINGS	N/A	12883.5928
YES	2023	13	IMPERIAL	N/A	157444.9675
YES	2023	32	PLUMAS	N/A	1384.6745
NO	2023	27	MONTEREY	376515.5448026873	1491854.81601666666666666666666666666658
NO	2023	37	SAN DIEGO	862785.3024998552	2625292.34390333333333333333333333333325
NO	2023	38	SAN FRANCISCO	27537.4735080581	119836.785565000000000000000000000000001
NO	2023	51	SUTTER	103659.6003034545	258115.053133333333333333333333333333332
NO	2023	05	CALAVERAS	13943.1696637858	41323.1560499999999999999999999999999996
YES	2023	04	BUTTE	N/A	10597.5131
NO	2023	58	YUBA	46499.2277074085	170867.330366666666666666666666666666667
YES	2023	56	VENTURA	N/A	15647.7539
YES	2023	11	GLENN	N/A	6511.5313
NO	2023	17	LAKE	26055.2775123065	104821.318633333333333333333333333333333
NO	2023	54	TULARE	572898.5900569255	1805637.71769166666666666666666666666658
NO	2023	33	RIVERSIDE	499501.696126603	2032809.39224166666666666666666666666654
NO	2023	36	SAN BERNARDINO	257706.2638551627	1144002.47511000000000000000000000000007
NO	2023	07	CONTRA COSTA	216897.9957353357	940893.840245000000000000000000000000006
NO	2023	24	MERCED	571268.7161343986	1720552.59980833333333333333333333333326
YES	2023	27	MONTEREY	N/A	30597.2749
NO	2023	40	SAN LUIS OBISPO	67328.4509585766	184964.444724999999999999999999999999996
YES	2023	39	SAN JOAQUIN	N/A	12635.2364
NO	2023	47	SISKIYOU	8118.8467039335	21759.6645583333333333333333333333333335
YES	2023	24	MERCED	N/A	17946.7846
YES	2023	57	YOLO	N/A	30971.864
YES	2023	05	CALAVERAS	N/A	2399.6338
YES	2023	53	TRINITY	N/A	7.0151
YES	2023	14	INYO	N/A	2085.0686
YES	2023	46	SIERRA	N/A	108.4575
YES	2023	02	ALPINE	N/A	17.8695
NO	2023	30	ORANGE	714487.1351147197	2569016.49693583333333333333333333333358
NO	2023	31	PLACER	145884.2649296415	796134.000331666666666666666666666666665
YES	2023	48	SOLANO	N/A	15467.464
NO	2023	42	SANTA BARBARA	208739.8682389513	478830.790064999999999999999999999999998
NO	2023	20	MADERA	363786.496741065	835827.859333333333333333333333333333331
NO	2023	28	NAPA	43268.8489768893	138250.334383333333333333333333333333332
YES	2023	19	LOS ANGELES	N/A	149661.9288
NO	2023	52	TEHAMA	133371.490750432	188546.581616666666666666666666666666667
YES	2023	03	AMADOR	N/A	1692.4356
NO	2023	53	TRINITY	38.096363734	408.521000000000000000000000000000000003
YES	2023	34	SACRAMENTO	N/A	23358.5356
NO	2023	25	MODOC	9983.176647595	21088.7838
YES	2023	42	SANTA BARBARA	N/A	8017.1567
YES	2023	45	SHASTA	N/A	7922.8341
YES	2023	55	TUOLUMNE	N/A	3870.0835
YES	2023	12	HUMBOLDT	N/A	213.6363
YES	2023	26	MONO	N/A	99.7879
YES	2023	58	YUBA	N/A	5577.5443
NO	2023	55	TUOLUMNE	14558.3778312025	47952.5073416666666666666666666666666657
NO	2023	32	PLUMAS	12395.29238574	34967.0338166666666666666666666666666676
NO	2023	39	SAN JOAQUIN	589738.0319639499	1615722.59276166666666666666666666666662
NO	2023	04	BUTTE	113546.9948141	508276.947756666666666666666666666666666
YES	2023	44	SANTA CRUZ	N/A	699.8213
YES	2023	01	ALAMEDA	N/A	7976.4536
YES	2023	21	MARIN	N/A	974.0192
YES	2023	07	CONTRA COSTA	N/A	6811.0497
YES	2023	22	MARIPOSA	N/A	777.7294
NO	2023	12	HUMBOLDT	6369.495290751	48839.7276916666666666666666666666666664
NO	2023	03	AMADOR	4539.284276196	15673.2834750000000000000000000000000006
YES	2023	20	MADERA	N/A	33084.802
NO	2023	02	ALPINE	291.95523473	1050.5144
NO	2023	56	VENTURA	262156.5597065379	1003799.50337333333333333333333333333333
NO	2023	49	SONOMA	142713.61769608	430279.591841666666666666666666666666665
YES	2023	50	STANISLAUS	N/A	15977.4817
NO	2023	50	STANISLAUS	559363.9862266808	1709313.74914833333333333333333333333332
YES	2023	40	SAN LUIS OBISPO	N/A	6340.1255
YES	2023	28	NAPA	N/A	1741.9378
YES	2023	54	TULARE	N/A	28489.9279
NO	2023	45	SHASTA	53853.372318539	225452.258441666666666666666666666666666
NO	2023	18	LASSEN	4405.131222121	9911.40305000000000000000000000000000001
YES	2023	09	EL DORADO	N/A	6843.32
YES	2023	10	FRESNO	N/A	46696.9235
YES	2023	25	MODOC	N/A	2862.9523
YES	2023	17	LAKE	N/A	1067.3155
YES	2023	18	LASSEN	N/A	555.4605
YES	2023	23	MENDOCINO	N/A	68.8941
NO	2023	19	LOS ANGELES	1888258.1556652168	7236144.21236380952380952380952380952264
NO	2023	43	SANTA CLARA	342533.2431806862	1242971.76056333333333333333333333333322
NO	2023	06	COLUSA	128869.2771447285	438652.515516666666666666666666666666666
NO	2023	44	SANTA CRUZ	74274.9279072113	171860.54185
NO	2023	29	NEVADA	33790.556017265	91323.0025583333333333333333333333333323
YES	2023	49	SONOMA	N/A	4444.1334
YES	2023	36	SAN BERNARDINO	N/A	18225.1748
YES	2023	30	ORANGE	N/A	31001.0285
YES	2023	43	SANTA CLARA	N/A	61364.7762
YES	2023	51	SUTTER	N/A	20676.0027
YES	2023	52	TEHAMA	N/A	4937.4724
YES	2023	08	DEL NORTE	N/A	85.5332
NO	2023	48	SOLANO	134110.4876162752	416235.653208333333333333333333333333332
NO	2023	35	SAN BENITO	36878.2556038293	65157.496366666666666666666666666666666
NO	2023	01	ALAMEDA	253871.8751710784	800377.396039999999999999999999999999994
NO	2023	15	KERN	1382736.8798522175	3940598.82266666666666666666666666666659
NO	2023	22	MARIPOSA	4850.277970884	13056.5272499999999999999999999999999998
YES	2023	06	COLUSA	N/A	10837.6961
YES	2023	29	NEVADA	N/A	3140.925
NO	2023	09	EL DORADO	43000.2556719085	148763.127508333333333333333333333333333
NO	2023	46	SIERRA	1968.307533308	5020.7185
YES	2023	31	PLACER	N/A	13293.5067
NO	2023	08	DEL NORTE	780.187102496	5997.9297
YES	2023	47	SISKIYOU	N/A	1777.5754
YES	2023	15	KERN	N/A	184466.8165
